Name	Statistic
1-Aminocyclopentanecarboxylate	1.178750575
3-Hydroxyquinaldic acid	1.176071614
Pivampicillin	1.175878418
Aluminoparaaminosalicylate calcium	1.175628426
Calcimycin	1.172273605
Asparagine	1.171824313
429.0215_160.8	1.16968733
Methoprene	1.166129545
Hydrochlorothiazide	1.16293901
Urea-1-carboxylate	1.156842122
dUDP	1.156318235
Cyanthoate	1.153405387
Docosanoic acid	1.150810949
Chloric acid	1.150373174
(8E10S)-10-Hydroperoxyoctadeca-8-enoate	1.147014049
Hydroxymethylbilane	1.146800662
Taxine B	1.14524867
Sabinene hydrate	1.144382003
Bicalutamide	1.140177158
Uracil mustard	1.139404487
(R)-2-Methylimino-1-phenylpropan-1-ol	1.139195452
(-)-Carnegine	1.138379498
Pefurazoate	1.133741275
Xanthan	1.133133387
25-Dichloro-4-oxohex-2-enedioate	1.132481171
Chlorzoxazone	1.127811829
7-Hydroxy-3-(4-methoxyphenyl)-4-methylcoumarin	1.127522188
Oleoylglycerone phosphate	1.12661607
Dalapon	1.125996694
23-Dibromo-1-propanol	1.11631705
LY-202769	1.115684763
Mevastatin	1.113158769
SWEP	1.108101518
4-Oxoproline	1.105472154
Acetate	1.104873522
(S)-Piperidine-2-carboxamide	1.103634466
3-Dehydroteasterone	1.100812108
Pidolic acid	1.100211936
trans-3-Hydroxy-proline	1.097411523
Thermocryptoxanthin-15	1.092673185
Serine	1.08780218
Bronopol	1.087678723
Betamethasone	1.085854181
Phytyl phosphate	1.083267191
2-Chloro-14-naphthoquinone	1.081458136
Gynocardin	1.078315438
Perfluidone	1.078234506
Prosulfocarb	1.076742483
NN-Diethylphenylacetamide	1.073731606
Semicarbazide hydrochloride	1.067727715
Propamocarb hydrochloride	1.066473625
4-Hexyloxyphenol	1.066074049
Aspidospermine	1.065932882
35-Dichloro-2-methylmuconate	1.065632788
2-Chlorophenylhydrazine hydrochloride	1.06192803
2-(m-Chlorophenyl)-2-(p-chlorophenyl)-11-dichloroethane	1.058714552
Fistularin 2	1.05822558
Pentachloroethane	1.05698475
Carbenicillin sodium	1.055303258
2-Amino-46-dinitrotoluene	1.05420587
3-Chloro-2-methyldienelactone	1.052495606
Quercetin 33-bissulfate	1.048079833
Benzoate	1.048073464
104.1074_80.1	1.045319301
Safynol	1.0424521
alpha-D-Galactose	1.041096272
3-Hydroxy-glutamate	1.040921381
(E)-2-Methylpropanal oxime	1.040480142
Endosulfan	1.039286348
2-Chloro-3-oxoadipate	1.03603993
Iodoquinol	1.030054539
3-(Hydrohydroxyphosphoryl)pyruvate	1.027595812
Dianoside A	1.009669967
4-Sulfobenzyl alcohol	1.009236134
p-Chloroacetoacetanilide	1.00575878
Propachlor	1.00565412
Pargyline	1.001161501
Zinc protoporphyrin-9	0.997888571
Chlorophacinone	0.996460645
1213-DHOME	0.995587913
Diethylene glycol	0.985185306
4-Formylsalicylic acid	0.980272021
Atractylodin	0.978826027
5-Cholestene	0.97879774
Estra-135(10)-triene-36beta17beta-triol triacetate	0.977265724
Taurine	0.976851062
Methylprotodioscin	0.974752924
Cycluron	0.974632397
Vincristine sulfate	0.972550706
Saquinavir mesylate	0.972391812
4567-Tetrahydroisoxazolo(54-c)pyridin-3-ol	0.970405356
Citronellate	0.967599524
(E)-4-(Trimethylammonio)but-2-enoate	0.966479481
9-Methy7-bromoeudistomin D	0.963139008
Iodoform	0.963067147
Dimercaprol	0.95887751
Thien-2-ylacetate	0.957296542
Nalpha-Methylhistidine	0.956441479
Istamycin AP	0.954499609
Lophophorine	0.952843093
2-Amino-5-oxohexanoate	0.952796994
2-Naphthylamine	0.952363309
Fosfomycin calcium	0.951136495
Thiarubrine B	0.950665914
Solanocapsine	0.950397679
Sterol	0.948554117
Urocanate	0.947745667
Estazolam	0.946053069
Cilazaprilat	0.945840571
Ammelide	0.940629097
910-DHOME	0.938959192
Pralidoxime	0.938080167
Betaine	0.937502901
Endothion	0.934456054
Dodecanamide	0.933942596
cyclo-Dopa 5-O-glucoside	0.933315179
4-Nitro-6-oxohepta-24-dienedioate	0.931717347
Taurohyocholate	0.931220417
N-AcetylmuramoyAla	0.92829625
Doxercalciferol	0.926649759
Premithramycin A1	0.923848689
(2R)-O-Phospho-3-sulfolactate	0.922850444
23910-Tetrahydroxyberberine	0.918016027
Azamethiphos	0.916214794
D-Proline	0.915519719
Isomaltose	0.914976142
NN-Diethylthiourea	0.910539897
Urate D-ribonucleotide	0.903928457
Glutamate 5-semialdehyde	0.903068182
Drazoxolon	0.895072928
1-Linoleoylglycerophosphocholine	0.891303296
D-Hamamelose	0.888544695
Serine	0.888175274
Dimethyl hydrogen phosphite	0.885439079
Harmaline	0.883302702
1chiro-Inositol	0.879025578
Tazobactam	0.875932798
6-Hydroxyluteolin	0.875047602
Ochrolifuanine A	0.874719135
O6-Methy2-deoxyguanosine	0.874497093
Pyraflufen-ethyl	0.872635311
NN-Dimethylacetamide	0.871788781
N-Glucosylnicotinate	0.87132799
24-Dichloro-ciscis-muconate	0.863457423
Valine	0.860079076
Spongouridine	0.858918402
Dopamine	0.85880641
Tizanidine	0.857927359
Cannabisativine	0.854801484
Kikkanol F	0.850852527
Phosphodimethylethanolamine	0.850796877
1-Hexadecanoy2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	0.850266387
Bromocyclen	0.844565268
Pentadecanal	0.844125776
Buprofezin	0.844042048
L787257	0.843181666
26-Dichloroindophenol	0.842481924
Calophyllin B	0.842341076
4-Amino-2-nitrotoluene	0.840948897
Toluene-4-sulfonate	0.839276399
Tiopronin	0.8363327
1-(5-Phosphoribosyl)imidazole-4-acetate	0.83180888
Pantothenol	0.831081234
3-Methy2-butenal	0.830713762
Chivosazole F	0.829850363
N-Hydroxy-isoleucine	0.828170195
Apholate	0.823976358
Decahydro-2-naphthoic acid	0.823674573
6-(alpha-D-Glucosaminyl)-1D-myo-inositol 12-cyclic phosphate	0.823368885
2-Fluoroaniline	0.821753286
Myristyltrimethylaminium bromide	0.819246167
2-Chloromaleylacetate	0.819035097
5-Oxo-D-proline	0.817133727
Acetoacetate	0.814403921
Amyl nitrite	0.813662162
Tridihexethyl bromide	0.813510661
Monuron-TCA	0.813131782
Aldophosphamide	0.810394772
(5-Glutamyl)-glutamine	0.809713821
Isophorone	0.808787481
Precorrin 6X	0.806449762
N-Ethylaniline	0.804682371
Anthemis glycoside A	0.802210459
Methylmercury	0.798544743
D-Altrose	0.797865784
Cytosine	0.797170404
Proansamitocin	0.796087075
Neomenthyl acetate	0.795559741
Tris(2-chloroethyl)phosphate	0.794731248
Propiomazine hydrochloride	0.792189351
2-Methylimidazole	0.789960377
Dichlobenil	0.788242745
Gyromitrin	0.788202263
Isoquinoline	0.787099345
Netilmicin	0.78523714
Acetone cyanohydrin	0.782981346
(10S)-Juvenile hormone III acid diol	0.782628306
Sulfanilamide	0.78197594
200.0683_122.9	0.780382132
Canthin-6-one	0.778163425
Cyclohexylamine	0.776443731
Arecoline	0.77267421
O-Phosphorylhomoserine	0.769463958
Imidazo5-ypyruvate	0.764503077
Benzaldehyde	0.763605178
35-Cyclic dAMP	0.761221509
Deoxymiroestrol	0.761197133
O-Phospho-serine	0.760028017
2-Deoxy-5-hydroxymethylcytidine-5-diphosphate	0.759473522
Deethylatrazine	0.759361054
N-AcetyD-glucosamine 16-bisphosphate	0.752890618
Furosemide	0.752834036
4-Benzyloxy-2-hydroxy-3456-tetramethoxychalcone	0.752430286
346-Trichloro-cis-12-dihydroxycyclohexa-35-diene	0.751996753
148.1161_149.1	0.742872402
Strigolactone ABC-rings	0.740948338
Dichloroacetonitrile	0.737097765
Methylarsonate	0.733781964
Cassine	0.732754504
Americine	0.7311858
Cabergoline	0.730502785
Deltorphin B	0.729447436
Melochinone	0.728447398
2-Acetamido-6H-dibenzobdpyran-6-one	0.728030889
1-Palmitoylglycerol 3-phosphate	0.726575804
3-Ureidoisobutyrate	0.7242143
Cysteate	0.722999104
4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone	0.722458259
Dorzolamide	0.722232451
MC-3761	0.721623853
Bismuth subsalicylate	0.721484192
muco-Inositol	0.720884175
Imazalil nitrate	0.720320855
3beta-Fluoro-5beta-pregnan-20-one	0.715922697
Thiobenzamide	0.710802612
Rhamnonate	0.707561653
1-Dodecanol	0.706994749
Dihydrolipoamide	0.70629519
(1S4S)-4-Hydroxy-3-oxocyclohexane-1-carboxylate	0.703501639
Penicillin V	0.702707157
Metolcarb	0.702291998
(11R)-Dihydroartemisinic aldehyde	0.702100827
1-Naphthalenesulfonic acid	0.699959352
Sugetriol	0.699931226
4-Methylthiobutanaldoxime	0.697757833
Erythromycin E	0.696842249
D-Glucose 6-sulfate	0.696768088
N-Ethylammelide	0.695222766
5-O-(1-Carboxyvinyl)-3-phosphoshikimate	0.69220868
3-OxostearoyCoA	0.69105007
Histamine	0.690700136
Captafol	0.69013379
WR 1065	0.689091133
gamma-GlutamyD-alanine	0.688712769
Proline	0.684763051
Buprenorphine	0.682974693
2-(35-Dichlorophenylcarbamoyl)-12-dimethylcyclopropane-1-carboxylic acid	0.67777478
10-Deoxymethynolide	0.676223862
Methamidophos	0.674538716
Deferoxamine	0.673820653
HMMF	0.670050619
4-Trimethylammoniobutanoate	0.66969265
Traumatic acid	0.669505143
Chelidonic acid	0.666035402
Tienilic acid	0.665470101
2-Hydroxy-6-oxo-6-(4-chlorophenyl)-hexa-24-dienoate	0.661446624
2-Amino-5-chloromuconate 6-semialdehyde	0.66143517
Metobromuron	0.661392402
N-Succinyglutamate	0.660410236
Aminoparathion	0.657793032
4-Fluorocatechol	0.657682912
Palmitoylcarnitine	0.656883803
Juvenile hormone III	0.656481859
Sorbose	0.653031107
9(S)-HOT	0.652870172
7101316-Docosatetraenoic acid	0.641361189
Asparagusate	0.639375527
12-Bis(chloromethoxy)ethane	0.637886316
D-Talose	0.637244296
Oxmetidine	0.636336508
23-Dimercaptopropane-1-sulfonic acid	0.635136615
Bis(2-chloro-1-methylethyl)ether	0.635119035
(-)-erythro-(2R3R)-Dihydroxybutylamide	0.632075911
Bombykol	0.629133434
Alizarin 2-methyl ether	0.626865293
23-Bis-O-(geranylgeranyl)-sn-glycero-1-phospho-serine	0.623298305
Cystine	0.61960368
Phenylenediamine	0.61866338
(1S3R)-3-(22-Dichloroethenyl)-22-dimethylcyclopropanecarboxylate	0.617697224
3-Ketosphingosine	0.612145978
D-Arginine	0.61133913
(9Z)-(7S8S)-Dihydroxyoctadecenoic acid	0.605315915
(S)-Tetrahydroprotoberberine	0.605280653
Fexofenadine	0.60375065
6-Methylthiopurine 5-monophosphate ribonucleotide	0.603208176
Phenolic phosphate	0.600691184
Phenylalanine	0.597772391
Methacholine	0.594799279
44-Bis(4-hydroxyphenyl)heptane	0.593381629
2-(1-Aziridinyl)ethanol	0.592841752
Tetranorbiotin	0.589242114
S 1033	0.585498754
Pamidronate	0.584826011
CPX	0.584679031
Thiamethoxam	0.584236037
2-Deoxy-D-gluconate	0.58336667
Dialifor	0.583123789
Verapamil	0.582463156
N8-Acetylspermidine	0.574863058
3-Acetamidopropanal	0.57452494
Bis-D-fructose 21:21-dianhydride	0.573185496
Clopyralid	0.570958638
Tyrosine	0.570117702
Metribuzin	0.570077274
3-(6-Methylthio)hexylmalic acid	0.568939639
N-Amidino-aspartate	0.567616813
D-Norvaline	0.565016221
Physoperuvine	0.560906532
Lawsone	0.556803163
Fluoroacetate	0.552706973
6-Bromo-2-naphthol	0.551841572
46-Diamino-5-formamidopyrimidine	0.549481853
Atractyloside B	0.546071654
Indole-3-ethanol	0.544023486
2-(4-Hydroxybenzyl)isoindole-13-dione	0.540591746
Kaempferol	0.540514504
D-Lysopine	0.540155876
alpha-D-Glucose	0.539945454
Fortimicin AP	0.533600407
Flufenacet	0.532547935
Ciprofloxacin	0.530655175
4-Nitrophenyl phosphate	0.530588765
1-Hexadecylthio-2-hexadecanoylamino-12-dideoxy-sn-glycero-3-phosphocholine	0.525881121
Phlorisovalerophenone	0.523935982
4-Vinylcyclohexene	0.523157706
Chloranocryl	0.521365816
4-Amino-5-hydroxymethy2-methylpyrimidine	0.520769373
o-Hydroxylaminobenzoate	0.520026411
N1N12-Diacetylspermine	0.516760818
Tolmetin sodium	0.516259247
6-(Isopropylthio)purine	0.515780284
Vasicinol	0.512194654
14-Bis(chloromethoxymethyl)benzene	0.511321142
2-Hydroxypyridine	0.509714029
3-Phosphonooxypyruvate	0.503823388
Angustifoline	0.503120861
1-Chloro-2-(chlorophenylmethyl)benzene	0.497366793
N(gamma)-Acetyldiaminobutyrate	0.49404535
Testosterone phenylpropionate	0.493340413
TDE	0.492740002
3-Aminoisobutanoate	0.490820366
gamma-Amino-gamma-cyanobutanoate	0.487840606
Proacacipetalin	0.487365778
N6N6N6-Trimethylysine	0.486143502
Megalomicin C2	0.483943777
Photinus luciferin	0.482962991
Isokobusone	0.482829558
3355-Tetrachloro-44-biphenyldiol	0.481763009
Phthalate	0.479313295
12-trans-Hydroxy juvenile hormone III	0.478137103
339.0271_91.3	0.477628771
Benzocaine	0.473870869
Methomyl	0.468266372
224-Trimethy3-(4-fluorophenyl)-2H-1-benzopyran-7-ol acetate	0.465510658
cis-4-Carboxymethylenebut-2-en-4-olide	0.461196477
Spectinomycin	0.459411123
N6-Methylysine	0.458330802
D-Gulose	0.45553359
Ornithine	0.455134251
Castasterone	0.453497155
Pravastatin	0.453409237
4-Methylene-glutamine	0.452456217
N4-Acetylaminobutanal	0.449770152
Azithromycin	0.442430327
NN-Dimethylurea	0.441920223
Gallopamil	0.440708827
Pristimerin	0.438663955
Piperonal	0.438188841
Tylosin	0.435565611
Isodeoxycholate	0.43505841
Nonanoic acid	0.43304528
Methylmercury chloride	0.431391394
N-Acety4-O-acetylneuraminate	0.42790155
7alpha-Methy4-pregnene-320-dione	0.422736299
Octadecanamide	0.421167501
1-Naphthylamine	0.419241088
Oxotremorine	0.417414203
2-Pyrone-46-dicarboxylate	0.416944813
Pymetrozine	0.415631806
Thicyofen	0.414200449
33-Difluoro-17-methy5alpha-androstan-17beta-ol	0.410179163
Tetrahydrocorticosterone	0.408551448
Fenpiclonil	0.407808653
3-Dehydrosphinganine	0.406026851
1-Aminocyclopropane-1-carboxylate	0.405439957
dCMP	0.404108646
N2-Acetylysine	0.403371044
3-Dehydrocarnitine	0.403344572
(2R3R)-3-MethylornithinyN6-lysine	0.402844746
trans-3-Hydroxycinnamate	0.401926731
Scymnol	0.394061185
5-Methylcytosine	0.392874196
Spinosyn J	0.392720294
3-(34-Dihydroxyphenyl)pyruvate	0.39217964
Chlorendic acid	0.38066332
Fluvalinate	0.379750538
N-Acetylornithine	0.372873543
N-AcetyD-glucosaminyldiphosphoundecaprenol	0.368966476
4-Hydroxycyclophosphamide	0.363656383
16alpha17alpha-Dihydroxyprogesterone acetophenide	0.363567026
Thalassemine	0.36062456
Furostan	0.351426806
N6-O-Disulfo-D-glucosamine	0.351110122
Trimethylsulfonium	0.350055543
Selenocystathionine	0.342658919
Allidochlor	0.339590323
Costatol	0.335279323
Tetrasul	0.333253479
5-Carboxy-2-oxohept-3-enedioate	0.331619314
Lienomycin	0.331364687
2-Oxodecanoic acid	0.330346334
1-Hexadecylthio-1-deoxy-2-hexadecylphosphono-sn-glycero-3-phosphocholine	0.324805017
Tuberculostearic acid	0.321998373
trans-14-Dichlorobutene	0.321239409
beta-Alaninebetaine	0.320334276
DCEBIO	0.318278132
Chromotropic acid	0.317594379
Panamine	0.314535862
Petromyzonol	0.313051759
4-Chlorophenylacetate	0.312000939
Terpendole I	0.309543281
Lupeol acetate	0.309279871
Erioflorin acetate	0.307723693
N-AcetyD-glucosaminate	0.307160642
Astrocasine	0.30292753
Styrene oxide	0.302625002
Cyclohexane-1-carboxylate	0.30196741
p-Cymene	0.297786723
Acetophenone	0.296701335
4-Aminopyridine	0.294479029
M236C	0.294466985
(2S)-2-1-(R)-Carboxyethylaminopentanoate	0.294402237
2-Butoxyethanol	0.292968257
Tryptanthrine	0.292511009
Omethoate	0.291197252
Kolanone	0.290520903
Avizafone	0.287608729
Chlorous acid	0.286464916
Cerivastatin	0.283416902
Paspaline B	0.281786388
Ornaline	0.28177019
Fuconate	0.275206487
D-Fructose	0.275065426
Stellettamide A	0.272272337
trans-4-Hydroxycyclohexanecarboxylate	0.270352835
Dolichotheline	0.269267948
Kynurenine	0.268952703
Sedanonic acid lactone	0.2681931
Pyrazole	0.266824148
Phenanthrene-4-carboxylate	0.265176014
Nedocromil	0.264887756
delta-1-Pyrroline-5-carboxylate	0.264168878
D-Sorbose	0.262175723
Acetaminophen	0.261548446
dTDP-4-oxo-236-trideoxy-D-glucose	0.260567304
Pinolidoxin	0.259755802
Cephalomannine	0.25945517
Bromofenoxim	0.256192616
Corticosterone	0.254804731
Vancomycin	0.254526808
4-Hydroxy-2234556-heptachlorobiphenyl	0.253201153
Sarin	0.252306365
16-Oxo-palmitate	0.250252484
Sodium fluoroacetate	0.25012666
Fortimicin A	0.249187082
Convallasaponin A	0.248409082
Amitrole	0.248402719
S-Hexyglutathione	0.247411608
Indole-3-carboxaldehyde	0.246945719
1-Hexadecanoy2-(9Z-octadecenoyl)-sn-glycero-3-phosphate	0.246127969
Sceptrin	0.237771574
Vat Yellow 4	0.237630268
D-Fructose	0.236486683
Leukotriene E4	0.234927088
